user_id,signup_date,plan_tier,company_size,region,industry,acquisition_channel,is_enterprise,churned_90d,churned_30d,expansion_event,downgraded,avg_mrr,peak_mrr,lifetime_mrr,overdue_invoices,support_tickets,avg_seats,billing_months,total_sessions,avg_session_min,active_months,last_session_date,unique_features,total_events,event_success_rate,avg_latency_ms,session_mom_pct,engagement_signal,health_score,csm_priority_action
f94d1824-8742-4000-8b6d-39d70958490b,2024-05-13,free,11-50,EU,software,seo,0,0,0,1,0,0.0,0.0,0.0,0,0,1.5,15,0,0.0,0,,0,0,0.0,0.0,0.0,Gone Dark,25,AT-RISK — Gone Dark
238bf0af-1f71-45e4-a47d-dcb5db33f71b,2025-04-11,standard,1-10,,education,seo,0,0,0,0,0,8.0,8.0,32.0,0,0,1.0,4,0,0.0,0,,0,0,0.0,0.0,0.0,Gone Dark,30,AT-RISK — Gone Dark
ccf8fc06-3c86-433c-8867-9cba0fda337b,2024-10-28,free,1-10,APAC,transport,partner,0,0,0,1,0,0.0,0.0,0.0,0,0,1.8,10,0,0.0,0,,0,0,0.0,0.0,0.0,Gone Dark,25,AT-RISK — Gone Dark
3e39c0ea-ebbf-43bc-abd5-ab92eff6fa10,2024-05-17,standard,200+,APAC,software,partner,0,0,0,1,0,790.83,1024.0,11862.4,0,30,101.5,15,13,16.6,9,2025-07-07,4,14,100.0,292.0,0.0,Stable,80,HOT — Standard to Enterprise
9304dcbe-682d-41fa-8bfd-861559f9f58b,2024-04-12,free,1-10,,software,ads,0,1,0,1,0,0.0,0.0,0.0,1,0,1.5,16,1,9.8,1,2025-07-27,0,0,0.0,0.0,0.0,Stable,10,MONITOR
9de7eaf6-bcb3-4bd4-99a9-b3ece69c01d9,2024-02-21,standard,51-200,APAC,energy,partner,0,1,0,1,0,798.22,944.0,14368.0,0,38,100.9,18,8,15.1,5,2025-03-26,2,4,100.0,292.0,200.0,Stable,63,WARM — Expand Seat Count
9c676e34-3e38-4740-8264-1641fe0f6be9,2024-06-01,standard,1-10,APAC,transport,partner,0,0,0,1,0,55.43,80.0,776.0,0,3,7.4,14,7,15.2,5,2025-05-05,3,5,100.0,359.0,0.0,Stable,43,MONITOR
3ea81032-dd9b-4ce2-bdf4-6a99c01fcff0,2025-05-12,free,200+,,energy,outbound,0,0,0,0,0,0.0,0.0,0.0,0,4,88.7,3,0,0.0,0,,0,0,0.0,0.0,0.0,Gone Dark,15,AT-RISK — Gone Dark
5e9df73e-052e-402d-abdf-940f20f4d440,2024-09-02,standard,11-50,EU,retail,partner,0,0,0,0,0,234.4,390.0,2578.4,0,8,24.8,11,1,25.6,1,2025-07-06,2,2,50.0,199.0,0.0,Stable,38,WARM — Expand Seat Count
12de9c20-5bd4-4251-adde-dd07eaa82e8c,2024-12-27,free,11-50,EU,finance,seo,0,0,0,1,0,0.0,0.0,0.0,0,1,4.1,8,1,3.1,1,2025-01-23,0,0,0.0,0.0,0.0,Stable,20,MONITOR
