user_id,plan_tier,industry,company_size,region,avg_mrr,total_tickets,latest_month,latest_sessions,prev_sessions,session_delta_pct,engagement_signal,risk_priority
c9c5326b-aa18-4f4f-a30e-91dfaef519f5,premium,retail,200+,LATAM,6481.67,116,2025-07,1,3,-66.7,Rapid Decline,2
34b75f2d-97fb-4739-be14-828a74d679a2,premium,software,200+,EU,6002.14,88,2025-07,1,3,-66.7,Rapid Decline,2
1afadcf6-a28d-459f-a172-2c589197befb,premium,healthcare,200+,,5841.43,161,2025-07,1,3,-66.7,Rapid Decline,2
dab5db2d-1496-4857-9a1f-05451d297e85,premium,finance,200+,EU,5808.75,37,2025-07,1,3,-66.7,Rapid Decline,2
3f433d34-9787-413b-923a-d3522056f9e4,premium,healthcare,200+,,5705.0,30,2025-07,1,3,-66.7,Rapid Decline,2
3d78ce9f-4c05-41ba-b544-aa7f65712aca,premium,finance,200+,APAC,5554.38,132,2025-05,1,4,-75.0,Rapid Decline,2
222cb733-c5c6-4ee9-a8e9-6f03dc323a42,premium,healthcare,200+,APAC,5553.0,85,2025-07,1,3,-66.7,Rapid Decline,2
53cd6357-eadf-4ecc-8005-26a19ee5f2b7,premium,energy,200+,EU,5540.1,121,2025-07,1,3,-66.7,Rapid Decline,2
d24f91c3-5b29-4401-be1d-3c393c28e10d,premium,finance,200+,EU,5535.9,102,2025-07,1,5,-80.0,Rapid Decline,2
234daddb-8310-4fb2-8488-017c749b2879,premium,media,200+,APAC,5459.57,69,2025-07,1,6,-83.3,Rapid Decline,2
73143995-4faf-42a9-ac48-1fa7ea7f53f1,premium,media,200+,EU,5370.0,68,2025-07,1,4,-75.0,Rapid Decline,2
de58dfbb-235a-4209-8cc4-23d43d82d91e,premium,software,200+,,5353.5,35,2025-07,1,4,-75.0,Rapid Decline,2
ed572f50-c388-4f23-8942-5520a970242b,premium,education,200+,,5296.5,62,2025-07,1,3,-66.7,Rapid Decline,2
028fc000-c3e9-44c3-99b3-e05cdb97fb5e,premium,telecom,200+,APAC,5270.83,174,2025-07,1,3,-66.7,Rapid Decline,2
97c8cd92-bbee-4fc2-bbc5-1b9b75f8383d,premium,energy,200+,APAC,5252.14,66,2025-07,1,4,-75.0,Rapid Decline,2
db175258-5ec7-4ade-98b0-13939d92d306,premium,education,200+,,5091.43,70,2025-06,1,3,-66.7,Rapid Decline,2
