user_id,plan_tier,company_size,industry,acquisition_channel,is_enterprise,churned_90d,expansion_event,session_count,active_months,unique_features,total_events,event_success_rate,avg_mrr,peak_mrr,overdue_invoices,support_tickets,avg_seats,health_score
f94d1824-8742-4000-8b6d-39d70958490b,free,11-50,software,seo,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1.5,25
238bf0af-1f71-45e4-a47d-dcb5db33f71b,standard,1-10,education,seo,0,0,0,0,0,0,0,0.0,8.0,8.0,0,0,1.0,30
ccf8fc06-3c86-433c-8867-9cba0fda337b,free,1-10,transport,partner,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1.8,25
3e39c0ea-ebbf-43bc-abd5-ab92eff6fa10,standard,200+,software,partner,0,0,1,13,9,4,14,100.0,790.83,1024.0,0,30,101.5,75
9304dcbe-682d-41fa-8bfd-861559f9f58b,free,1-10,software,ads,0,1,1,1,1,0,0,0.0,0.0,0.0,1,0,1.5,20
9de7eaf6-bcb3-4bd4-99a9-b3ece69c01d9,standard,51-200,energy,partner,0,1,1,8,5,2,4,100.0,798.22,944.0,0,38,100.9,65
9c676e34-3e38-4740-8264-1641fe0f6be9,standard,1-10,transport,partner,0,0,1,7,5,3,5,100.0,55.43,80.0,0,3,7.4,45
3ea81032-dd9b-4ce2-bdf4-6a99c01fcff0,free,200+,energy,outbound,0,0,0,0,0,0,0,0.0,0.0,0.0,0,4,88.7,15
5e9df73e-052e-402d-abdf-940f20f4d440,standard,11-50,retail,partner,0,0,0,1,1,2,2,50.0,234.4,390.0,0,8,24.8,35
12de9c20-5bd4-4251-adde-dd07eaa82e8c,free,11-50,finance,seo,0,0,1,1,1,0,0,0.0,0.0,0.0,0,1,4.1,20
904f47f7-6f21-41b9-b031-86dd264376b3,free,51-200,transport,partner,0,0,0,2,1,0,0,0.0,0.0,0.0,0,1,34.0,20
c245c942-db9b-4a58-8722-7f52320ec347,free,11-50,education,partner,0,1,1,3,3,0,0,0.0,0.0,0.0,0,1,7.1,30
0b328ef5-0a2c-45ff-968b-71f8876ad6bf,standard,11-50,software,seo,0,1,1,0,0,0,0,0.0,194.4,216.0,0,2,25.2,35
92e54b19-3423-4755-93dd-5631844498eb,free,11-50,healthcare,seo,0,0,1,2,2,0,0,0.0,0.0,0.0,1,1,4.9,25
13ff96c3-396e-44ad-a7f8-24c8f0d1350d,standard,11-50,telecom,ads,0,0,1,8,6,2,5,80.0,152.0,168.0,0,3,19.6,55
8a6794f2-2158-4be4-a8fb-bf902f16e16b,free,51-200,transport,seo,0,0,1,1,1,0,0,0.0,0.0,0.0,0,1,7.1,20
9b2af735-7971-4bd1-9b3f-d6345c251f85,free,1-10,energy,ads,0,1,1,0,0,0,0,0.0,0.0,0.0,0,1,1.6,20
cca57714-3aab-4644-9b5d-a7166c408368,free,51-200,transport,partner,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,9.0,25
71c3e590-ac99-45eb-bde2-c6244667245e,standard,11-50,education,seo,0,0,0,4,3,2,2,100.0,0.0,0.0,0,0,21.2,40
d0555a61-01e2-4018-99e9-409f4d9ed718,free,1-10,finance,partner,0,0,1,1,1,1,1,100.0,0.0,0.0,0,1,1.2,20
9ba0dd35-1ef8-455b-b58f-fa6eb294a573,premium,1-10,energy,ads,0,0,1,7,7,2,4,100.0,33.75,75.0,1,1,2.3,55
cb50662c-fd0a-4f34-97cd-21889daea5ba,standard,51-200,education,seo,0,0,0,2,2,2,3,100.0,836.44,904.0,0,19,104.6,55
a4c9a3d1-3c39-4032-9aa8-472b800d4706,standard,200+,retail,outbound,1,1,0,9,8,2,7,100.0,791.14,832.0,0,25,102.0,75
be03b649-cf39-4d32-8f00-1f815f37dd48,free,11-50,telecom,outbound,0,0,1,1,1,1,1,100.0,0.0,0.0,0,1,5.3,20
43abfdef-959d-4bca-8cab-7fcde47674f8,free,1-10,transport,ads,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1.3,25
c2cb519d-ac2b-4ca3-8b26-5903b1ff1117,premium,1-10,media,ads,0,1,1,12,10,4,11,90.9,77.33,120.0,0,3,5.3,65
a4ea3ea4-9428-4dae-80ee-f33c043dda21,standard,200+,transport,seo,1,1,0,11,7,4,12,100.0,1280.96,1392.0,0,28,163.3,75
49e6065a-4e19-494e-ad3e-72624f8776f6,free,11-50,retail,ads,0,1,1,0,0,0,0,0.0,0.0,0.0,0,1,3.0,20
a44b8970-3fec-47df-b07e-467e7ae8349f,premium,51-200,finance,ads,0,0,0,18,12,4,15,86.7,1167.18,1230.0,0,31,79.6,85
7b182f04-f51b-4b1e-9ae5-041b11ecb7e1,free,51-200,healthcare,seo,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,20.0,20
9a9f4efd-a9b8-4c08-b6d9-ab2f6fae50c3,premium,1-10,healthcare,outbound,0,0,1,4,2,2,3,100.0,65.0,75.0,0,0,4.3,45
ce843e44-c685-4588-9e15-997e3112ec54,free,11-50,telecom,outbound,0,1,1,2,2,2,2,100.0,0.0,0.0,0,0,5.5,40
8ead262d-5a53-4c2a-b897-8676f5bad6f5,standard,51-200,telecom,partner,0,1,0,5,4,3,5,80.0,239.36,280.0,1,4,34.0,50
e2499822-cb9e-43ba-94cf-8e6c401dc77b,standard,51-200,finance,partner,0,0,0,1,1,1,1,100.0,696.0,696.0,0,4,87.0,40
f2668b41-d97e-47a5-9a36-c5055a819df0,free,200+,education,seo,0,1,0,2,1,1,1,100.0,0.0,0.0,1,6,51.0,10
b372f024-4552-4425-b4cc-2648659c34d1,standard,11-50,transport,partner,0,0,0,1,1,1,1,100.0,144.0,152.0,0,1,18.0,35
55d94d74-fc7d-45d5-aab5-eefc4685c668,free,1-10,retail,outbound,0,1,1,1,1,0,0,0.0,0.0,0.0,0,0,2.3,25
6f8f6f68-4f76-465f-814f-1a3e6e504ad9,standard,1-10,finance,outbound,0,1,1,2,2,2,3,66.7,15.02,24.0,2,1,1.9,35
0e33f86f-83c6-43ba-80d6-031970be7d64,premium,11-50,manufacturing,partner,0,0,0,12,7,4,8,100.0,327.3,375.0,0,5,22.7,65
5723649c-daf6-4266-888c-e515ab6c3874,free,51-200,finance,ads,0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,24.0,20
ed400c18-8a60-482d-bd63-e59788808075,premium,1-10,education,seo,0,0,1,7,4,2,4,100.0,118.5,180.0,0,5,8.4,55
d64fc896-1c80-4215-99ff-7cd37ba16904,free,51-200,transport,ads,0,0,0,3,2,0,0,0.0,0.0,0.0,0,2,28.7,30
f8e0a344-b14c-49a5-8168-3bb5b87188b8,free,200+,finance,seo,0,0,0,3,3,2,2,100.0,0.0,0.0,0,6,65.8,30
38390e0a-f250-454e-9e17-f1cab08d12c3,free,200+,media,partner,0,0,0,2,1,1,1,100.0,0.0,0.0,0,1,21.1,20
0a5320cd-e48b-4218-8a34-3a5f292fe959,free,51-200,energy,seo,0,1,0,0,0,0,0,0.0,0.0,0.0,1,3,28.9,10
6ca9597e-bac6-4a5d-8053-749f13ed51cc,standard,1-10,finance,outbound,0,0,1,6,5,2,5,100.0,18.45,32.0,0,0,2.3,55
ab903086-511b-4c99-81b8-a7d3ae07a5b1,standard,1-10,finance,ads,0,0,1,5,4,2,5,100.0,20.27,25.6,0,0,2.8,55
d25d171b-f289-48ac-ac44-dbe4c88be24d,standard,200+,retail,outbound,1,1,0,4,3,2,4,50.0,686.0,728.0,0,6,90.3,55
6e02546d-0ee6-4462-927b-e85dc2f0b729,free,1-10,transport,seo,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,1.0,20
a9556c8b-b4ea-4a68-95d7-d2089dde41a7,standard,1-10,media,outbound,0,0,1,1,1,1,1,100.0,22.4,32.0,0,0,3.0,30
f775aa87-b59b-47a3-bf81-b96e51bb3b29,free,51-200,education,partner,0,0,1,3,3,2,2,100.0,0.0,0.0,1,3,27.7,25
a70ad2e2-ee15-46d4-b366-fe59d0be9a7d,free,11-50,transport,seo,0,0,1,0,0,0,0,0.0,0.0,0.0,0,1,2.5,20
c44c8671-b708-4505-919a-ab1afeabb1a7,free,1-10,education,seo,0,0,1,0,0,0,0,0.0,0.0,0.0,0,2,3.8,20
2e56c33e-4e00-41dc-9581-e81b2b5c00a2,premium,1-10,transport,seo,0,0,1,8,5,3,8,100.0,87.0,105.0,0,3,6.0,45
9eeced56-d7f6-42cc-b26f-41ceec543a0b,standard,51-200,education,partner,0,0,0,13,5,2,7,100.0,511.82,560.0,0,31,65.6,65
d4f8173f-c03f-4e06-8be9-df9bab29b548,free,11-50,energy,outbound,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,4.0,25
ae42d0ae-7c79-4690-a340-cf1c4ba52919,free,1-10,finance,ads,0,1,1,0,0,0,0,0.0,3.09,8.0,0,2,1.2,25
4468d1d2-c326-45f3-b216-8bd045100611,free,11-50,energy,seo,0,0,0,1,1,1,1,0.0,0.0,0.0,0,0,6.0,25
d9479437-ed74-4f61-8a0b-99eefdb39aff,free,200+,software,outbound,0,1,0,1,1,0,0,0.0,0.0,0.0,0,0,41.4,25
3d17faa7-46a2-47f8-b211-7537730974d6,standard,1-10,software,partner,0,0,1,4,3,2,2,50.0,59.57,96.0,0,2,7.8,40
71999335-54ac-4eb4-baf7-d836c79a5ebb,standard,11-50,healthcare,partner,0,0,1,7,6,4,7,100.0,54.0,64.0,0,0,6.8,55
cb725b49-642f-4f15-ac60-ec6a39759b60,free,11-50,telecom,partner,0,0,1,2,2,0,0,0.0,0.0,0.0,0,0,4.0,35
21a450fc-0f9b-4ccc-ad38-91d1e3ead628,standard,1-10,healthcare,partner,0,1,1,5,4,3,3,100.0,58.4,72.0,1,1,7.4,45
92d8291a-2f84-49a8-a107-dd551422fa3e,standard,11-50,retail,ads,0,0,0,1,1,2,3,66.7,114.13,120.0,0,0,15.3,45
c97807ff-3943-4384-85bc-e60bf53178b6,premium,51-200,manufacturing,seo,0,0,0,2,2,3,3,100.0,820.0,840.0,0,4,54.7,55
65a89097-c0ee-4ad3-bafe-ac80aee88893,premium,51-200,telecom,ads,0,0,0,7,6,2,3,100.0,1688.7,1800.0,1,27,117.2,60
46a4a16b-0c83-41d4-b11e-26b85d04bd1e,premium,1-10,software,ads,0,0,1,8,5,2,6,100.0,94.67,120.0,1,3,6.4,40
13a35f50-a5bc-4652-bbd4-ff0ade1df6c6,free,11-50,manufacturing,ads,0,0,1,1,1,0,0,0.0,0.0,0.0,0,0,6.3,25
5775eae2-87c9-4bb7-89d2-07cf73c00b30,premium,11-50,finance,ads,0,1,0,18,13,3,10,100.0,210.0,225.0,1,5,14.2,70
e4cb629c-fb34-40c0-bb51-79914e197309,standard,1-10,education,ads,0,0,1,2,2,1,1,100.0,67.2,80.0,0,2,8.7,35
4f94d92b-803a-4d2a-9380-9fc56378f05c,free,1-10,finance,ads,0,1,1,0,0,0,0,0.0,0.0,0.0,0,0,1.3,25
